NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-07;2021-09-13;--;;;0.0000;0.0000;146;0.0000;8727;17;0.9003;42;5;1;90;56;77;1;8648;16;951;1129
CATALUNYA;GLOBAL;2021-09-07;2021-09-13;Si;;;224.3871;85.2103;60;9513.7330;6040;659;1.5333;32;0;11;40;20;44;20;3726;448;58;99
CATALUNYA;GLOBAL;2021-09-07;2021-09-13;No;86.5435;0.908996;95.2077;43.1904;3342;1624.9938;92824;32915;3.3635;315;63;60;1699;1643;1790;1667;74575;28206;63738;81541
CATALUNYA;GLOBAL;2021-09-06;2021-09-12;No;91.0042;0.916773;99.2657;44.8834;3473;1621.3364;92347;33109;3.5374;334;71;68;1725;1748;1852;1773;74058;28419;65381;98437
CATALUNYA;GLOBAL;2021-09-06;2021-09-12;--;;;0.0000;0.0000;156;0.0000;8692;18;0.9275;35;6;2;96;60;79;1;8608;17;965;1177
CATALUNYA;GLOBAL;2021-09-06;2021-09-12;Si;;;222.9670;88.0506;62;10530.5763;6765;650;1.4283;30;0;11;41;21;45;21;4169;452;61;109
CATALUNYA;GLOBAL;2021-09-05;2021-09-11;--;;;0.0000;0.0000;156;0.0000;8741;17;0.9574;36;5;3;99;57;82;1;8653;16;963;1234
CATALUNYA;GLOBAL;2021-09-05;2021-09-11;Si;;;225.8073;90.8910;64;10460.9878;6704;662;1.5046;32;0;9;41;23;46;23;4128;458;61;109
CATALUNYA;GLOBAL;2021-09-05;2021-09-11;No;93.2633;0.922595;101.0879;45.9173;3553;1621.6854;92130;33353;3.5949;343;75;71;1726;1827;1856;1828;73845;28633;65465;99223
CATALUNYA;GLOBAL;2021-09-04;2021-09-10;--;;;0.0000;0.0000;162;0.0000;9166;21;0.9569;35;6;3;102;60;86;1;9073;19;994;1276
CATALUNYA;GLOBAL;2021-09-04;2021-09-10;Si;;;232.9082;86.6304;61;10475.1895;6748;628;1.4267;29;0;7;39;22;44;22;4186;440;61;108
CATALUNYA;GLOBAL;2021-09-04;2021-09-10;No;95.5495;0.920842;103.7631;47.4164;3669;1640.9414;92661;34312;3.6608;356;83;72;1786;1883;1916;1881;74263;29457;66075;109121
CATALUNYA;GLOBAL;2021-09-03;2021-09-09;No;96.8649;0.894099;108.3380;48.3857;3744;1648.2045;91705;35830;3.6845;393;88;74;1724;2020;1810;2028;73351;30815;63983;119114
CATALUNYA;GLOBAL;2021-09-03;2021-09-09;--;;;0.0000;0.0000;163;0.0000;9106;19;0.9533;31;6;3;101;62;85;1;9005;16;1022;1423
CATALUNYA;GLOBAL;2021-09-03;2021-09-09;Si;;;242.8494;109.3532;77;11029.0567;6941;825;1.6660;31;0;7;53;24;57;24;4298;564;67;112
CATALUNYA;GLOBAL;2021-09-02;2021-09-08;--;;;0.0000;0.0000;174;0.0000;9225;21;1.0721;29;6;3;111;63;96;2;9123;18;1040;1518
CATALUNYA;GLOBAL;2021-09-02;2021-09-08;Si;;;262.7318;113.6137;80;12258.9257;7790;842;1.5510;32;0;9;49;31;53;31;4857;559;83;130
CATALUNYA;GLOBAL;2021-09-02;2021-09-08;No;98.0642;0.86071;113.9339;49.5747;3836;1678.8333;92499;37406;3.6838;423;89;71;1741;2095;1802;2108;73985;32156;63718;132724
CATALUNYA;GLOBAL;2021-09-01;2021-09-07;No;98.8213;0.828362;119.2972;50.7766;3929;1701.3590;93279;38369;3.7043;431;103;75;1774;2155;1837;2146;74404;33119;62468;148288
CATALUNYA;GLOBAL;2021-09-01;2021-09-07;--;;;0.0000;0.0000;168;0.0000;9116;19;1.0959;31;6;2;109;59;97;2;9018;16;1041;1607
CATALUNYA;GLOBAL;2021-09-01;2021-09-07;Si;;;261.3116;126.3953;89;13105.3483;8389;839;1.5601;32;0;11;66;23;68;23;5282;551;75;135
CATALUNYA;GLOBAL;2021-08-31;2021-09-06;Si;;;281.1940;139.1768;98;13517.1982;8538;980;1.8698;36;1;14;71;27;85;27;5377;613;78;126
CATALUNYA;GLOBAL;2021-08-31;2021-09-06;No;100.698;0.803533;125.3196;52.0172;4025;1728.7440;92660;41107;3.7611;450;104;74;1767;2258;1873;2245;73898;35590;60138;168973
CATALUNYA;GLOBAL;2021-08-31;2021-09-06;--;;;0.0000;0.0000;181;0.0000;9027;16;1.2310;28;7;2;117;64;108;2;8922;14;1036;1597
